FBgn0010339	hasFunction	GO_0005525
FBgn0020238	hasFunction	GO_0000077
FBgn0020238	hasFunction	GO_0000077
FBgn0020238	hasFunction	GO_0009314
FBgn0020238	hasFunction	GO_0007444
FBgn0020238	hasFunction	GO_0007093
FBgn0020238	hasFunction	GO_0007088
FBgn0020238	hasFunction	GO_0005694
FBgn0020238	hasFunction	GO_0005634
FBgn0020238	hasFunction	GO_0000077
FBgn0020238	hasFunction	GO_0005737
FBgn0020238	hasFunction	GO_0007294
FBgn0020238	hasFunction	GO_0008103
FBgn0020238	hasFunction	GO_0045172
FBgn0020238	hasFunction	GO_0048190
FBgn0020238	hasFunction	GO_0005515
FBgn0020238	hasFunction	GO_0009411
FBgn0020238	hasFunction	GO_0008340
FBgn0020238	hasFunction	GO_0045927
FBgn0020238	hasFunction	GO_0040008
FBgn0020238	hasFunction	GO_0046982
FBgn0020238	hasFunction	GO_0042994
FBgn0020238	hasFunction	GO_0035332
FBgn0020238	hasFunction	GO_0008134
FBgn0020238	hasFunction	GO_0005886
FBgn0020238	hasFunction	GO_0007280
FBgn0020238	hasFunction	GO_0007411
FBgn0020238	hasFunction	GO_0050815
FBgn0020238	hasFunction	GO_0046579
FBgn0020238	hasFunction	GO_0005737
FBgn0020238	hasFunction	GO_0005634
FBgn0020238	hasFunction	GO_0005737
FBgn0020238	hasFunction	GO_0005813
FBgn0020238	hasFunction	GO_0005654
FBgn0004907	hasFunction	GO_0120176
FBgn0004907	hasFunction	GO_0005515
FBgn0004907	hasFunction	GO_0008355
FBgn0004907	hasFunction	GO_0007059
FBgn0004907	hasFunction	GO_0005634
FBgn0004907	hasFunction	GO_0045448
FBgn0004907	hasFunction	GO_0007611
FBgn0004907	hasFunction	GO_0008426
FBgn0004907	hasFunction	GO_0007611
FBgn0004907	hasFunction	GO_0007294
FBgn0004907	hasFunction	GO_0008103
FBgn0004907	hasFunction	GO_0045172
FBgn0004907	hasFunction	GO_0050821
FBgn0004907	hasFunction	GO_0006457
FBgn0004907	hasFunction	GO_0050821
FBgn0004907	hasFunction	GO_0006457
FBgn0004907	hasFunction	GO_0005515
FBgn0004907	hasFunction	GO_0040040
FBgn0004907	hasFunction	GO_0042803
FBgn0004907	hasFunction	GO_0046982
FBgn0004907	hasFunction	GO_0008134
FBgn0004907	hasFunction	GO_0035332
FBgn0004907	hasFunction	GO_0042994
FBgn0004907	hasFunction	GO_0005886
FBgn0004907	hasFunction	GO_0046579
FBgn0004907	hasFunction	GO_0031965
FBgn0004907	hasFunction	GO_0005737
FBgn0004907	hasFunction	GO_0005634
FBgn0004907	hasFunction	GO_0005515
